"","id","atlas_id","name","acronym","st_level","ontology_id","hemisphere_id","weight","parent_structure_id","depth","graph_id","graph_order","structure_id_path","color_hex_triplet","neuro_name_structure_id","neuro_name_structure_id_path","failed","sphinx_id","structure_name_facet","failed_facet","safe_name","col"
"10467",10467,NA,"hypothalamus","HTH",NA,11,3,8660,10389,6,16,2047,"/10153/10154/10155/10156/10157/10389/10467/","E4C9D9",NA,NA,"f",8647,4069508473,734881840,"hypothalamus","#E4C9D9"
"10495",10495,NA,"mammillary region of HTH","HTHma",NA,11,3,8660,10467,7,16,2100,"/10153/10154/10155/10156/10157/10389/10467/10495/","C484A9",NA,NA,"f",8700,816009039,734881840,"mammillary region of HTH","#C484A9"
"10483",10483,NA,"tuberal region of HTH","HTHtub",NA,11,3,8660,10467,7,16,2078,"/10153/10154/10155/10156/10157/10389/10467/10483/","DBABC8",NA,NA,"f",8678,1317434805,734881840,"tuberal region of HTH","#DBABC8"
"10383",10383,NA,"extended amygdala","EXA",NA,11,3,8660,10331,7,16,1833,"/10153/10154/10155/10156/10157/10158/10331/10383/","C7E4CA",NA,NA,"f",8433,1023634394,734881840,"extended amygdala","#C7E4CA"
"10384",10384,NA,"bed nucleus of stria terminalis","BNST",NA,11,3,8660,10383,8,16,1834,"/10153/10154/10155/10156/10157/10158/10331/10383/10384/","A9D7AE",NA,NA,"f",8434,2488847189,734881840,"bed nucleus of stria terminalis","#A9D7AE"
"12741",12741,NA,"inferior cerebellar peduncle","icp",NA,11,3,8660,10668,5,16,3139,"/10153/10154/10155/10653/10668/12741/","F2F1F0",NA,NA,"f",9739,202676826,734881840,"inferior cerebellar peduncle","#F2F1F0"
"10465",10465,NA,"subthalamus","SubTH",NA,11,3,8660,10389,6,16,2042,"/10153/10154/10155/10156/10157/10389/10465/","DDD2E6",NA,NA,"f",8642,961207451,734881840,"subthalamus","#DDD2E6"
"10466",10466,NA,"subthalamic nucleus","STH",NA,11,3,8660,10465,7,16,2043,"/10153/10154/10155/10156/10157/10389/10465/10466/","B799C4",NA,NA,"f",8643,3944867409,734881840,"subthalamic nucleus","#B799C4"
"10669",10669,NA,"ventricles of hindbrain","HV",NA,11,3,8660,10653,4,16,3205,"/10153/10154/10155/10653/10669/","231F20",NA,NA,"f",9805,3761007564,734881840,"ventricles of hindbrain","#231F20"
"12805",12805,NA,"fourth ventricle","4V",NA,11,3,8660,10669,5,16,3206,"/10153/10154/10155/10653/10669/12805/","231F20",NA,NA,"f",9806,2366263365,734881840,"fourth ventricle","#231F20"
"10392",10392,NA,"anterior nuclear complex of thalamus","ANC",NA,11,3,8660,10391,8,16,1928,"/10153/10154/10155/10156/10157/10389/10390/10391/10392/","BF89BC",NA,NA,"f",8528,2064612904,734881840,"anterior nuclear complex of thalamus","#BF89BC"
"10396",10396,NA,"lateral dorsal nucleus of thalamus","LD",NA,11,3,8660,10392,9,16,1932,"/10153/10154/10155/10156/10157/10389/10390/10391/10392/10396/","B67BB4",NA,NA,"f",8532,2238764989,734881840,"lateral dorsal nucleus of thalamus","#B67BB4"
"12181",12181,NA,"pretectal region","PTR",NA,11,3,8660,10649,5,16,2461,"/10153/10154/10155/10648/10649/12181/","A0C7D5",NA,NA,"f",9061,3557876670,734881840,"pretectal region","#A0C7D5"
"12121",12121,NA,"gyrus rectus (straight gyrus)","ReG",NA,11,3,8660,12113,7,16,2360,"/10153/10154/10155/10156/10609/12112/12113/12121/","B8A26D",NA,NA,"f",8960,3372866835,734881840,"gyrus rectus (straight gyrus)","#B8A26D"
"146034876",146034876,NA,"rostral gyrus","RoG",NA,11,3,8660,12113,7,16,2369,"/10153/10154/10155/10156/10609/12112/12113/146034876/","B8A26D",NA,NA,"f",8969,1875005621,734881840,"rostral gyrus","#B8A26D"
"12416",12416,NA,"pontine tegmentum","PnTg",NA,11,3,8660,10661,7,16,2754,"/10153/10154/10155/10653/10654/10655/10661/12416/","6586BF",NA,NA,"f",9354,386046095,734881840,"pontine tegmentum","#6586BF"
"10442",10442,NA,"intralaminar nuclear complex","ILN",NA,11,3,8660,10391,8,16,1997,"/10153/10154/10155/10156/10157/10389/10390/10391/10442/","BF89BC",NA,NA,"f",8597,3516806901,734881840,"intralaminar nuclear complex","#BF89BC"
"10448",10448,NA,"posterior group of intralaminar nuclei","PILN",NA,11,3,8660,10442,9,16,2007,"/10153/10154/10155/10156/10157/10389/10390/10391/10442/10448/","B67BB4",NA,NA,"f",8607,1224985817,734881840,"posterior group of intralaminar nuclei","#B67BB4"
"10449",10449,NA,"centromedian nucleus of thalamus","CM",NA,11,3,8660,10448,10,16,2008,"/10153/10154/10155/10156/10157/10389/10390/10391/10442/10448/10449/","B67BB4",NA,NA,"f",8608,609488855,734881840,"centromedian nucleus of thalamus","#B67BB4"
"12291",12291,NA,"midbrain tectum","MTc",NA,11,3,8660,10649,5,16,2573,"/10153/10154/10155/10648/10649/12291/","8EBDCD",NA,NA,"f",9173,4185751925,734881840,"midbrain tectum","#8EBDCD"
"12305",12305,NA,"inferior colliculus","IC",NA,11,3,8660,12291,6,16,2587,"/10153/10154/10155/10648/10649/12291/12305/","7EB3C9",NA,NA,"f",9187,3901677296,734881840,"inferior colliculus","#7EB3C9"
"12073",12073,NA,"olfactory tract","olt",NA,11,3,8660,10568,6,16,2215,"/10153/10154/10155/10156/10557/10568/12073/","F2F1F0",NA,NA,"f",8815,3254919610,734881840,"olfactory tract","#F2F1F0"
"10473",10473,NA,"supraoptic region of HTH","HTHso",NA,11,3,8660,10467,7,16,2058,"/10153/10154/10155/10156/10157/10389/10467/10473/","CF97B9",NA,NA,"f",8658,10717314,734881840,"supraoptic region of HTH","#CF97B9"
"10662",10662,NA,"myelencephalon (medulla oblongata)","Mo",NA,11,3,8660,10654,5,16,2880,"/10153/10154/10155/10653/10654/10662/","D1D7E8",NA,NA,"f",9480,397671386,734881840,"myelencephalon (medulla oblongata)","#D1D7E8"
"12538",12538,NA,"tegmentum of medulla oblongata","MoTg",NA,11,3,8660,10662,6,16,2884,"/10153/10154/10155/10653/10654/10662/12538/","838BC1",NA,NA,"f",9484,3655573726,734881840,"tegmentum of medulla oblongata","#838BC1"
